"","V1","V2","V3"
"817.6667",817.6667,0.00715,-0.1287
"817.6944",817.6944,0.00685,-0.1233
"817.7222",817.7222,0.006575,-0.11835
"817.75",817.75,0.0063,-0.1134
"817.7778",817.7778,0.00605,-0.1089
"817.8056",817.8056,0.0058,-0.1044
"817.8333",817.8333,0.005575,-0.10035
"817.8611",817.8611,0.005325,-0.09585
"817.8889",817.8889,0.005125,-0.09225
"817.9167",817.9167,0.0049,-0.0882
"817.9444",817.9444,0.0047,-0.0846
"817.9722",817.9722,0.004525,-0.08145
"818",818,0.004325,-0.07785
"818.0278",818.0278,0.00415,-0.0747
"818.0556",818.0556,0.003975,-0.07155
"818.0833",818.0833,0.003825,-0.06885
"818.1111",818.1111,0.003675,-0.06615
"818.1389",818.1389,0.003525,-0.06345
"818.1667",818.1667,0.003375,-0.06075
"818.1944",818.1944,0.003225,-0.05805
"818.2222",818.2222,0.0031,-0.0558
"818.25",818.25,0.002975,-0.05355
"818.2778",818.2778,0.00285,-0.0513
"818.3056",818.3056,0.00275,-0.0495
"818.3333",818.3333,0.002625,-0.04725
"818.3611",818.3611,0.002525,-0.04545
"818.3889",818.3889,0.002425,-0.04365
"818.4167",818.4167,0.002325,-0.04185
"818.4444",818.4444,0.002225,-0.04005
"818.4722",818.4722,0.002125,-0.03825
"818.5",818.5,0.00205,-0.0369
"818.5278",818.5278,0.001975,-0.03555
"818.5556",818.5556,0.001875,-0.03375
"818.5833",818.5833,0.0018,-0.0324
"818.6111",818.6111,0.001725,-0.03105
"818.6389",818.6389,0.00165,-0.0297
"818.6667",818.6667,0.0016,-0.0288
"818.6944",818.6944,0.001525,-0.02745
"818.7222",818.7222,0.001475,-0.02655
"818.75",818.75,0.0014,-0.0252
"818.7778",818.7778,0.00135,-0.0243
"818.8056",818.8056,0.0013,-0.0234
"818.8333",818.8333,0.00125,-0.0225
"818.8611",818.8611,0.0012,-0.0216
"818.8889",818.8889,0.00115,-0.0207
"818.9167",818.9167,0.0011,-0.0198
"818.9444",818.9444,0.00105,-0.0189
"818.9722",818.9722,0.001,-0.018
"819",819,0.000975,-0.01755
"819.0278",819.0278,0.000925,-0.01665
"819.0556",819.0556,9e-04,-0.0162
"819.0833",819.0833,0.00085,-0.0153
"819.1111",819.1111,0.000825,-0.01485
"819.1389",819.1389,0.000775,-0.01395
"819.1667",819.1667,0.00075,-0.0135
"819.1944",819.1944,0.000725,-0.01305
"819.2222",819.2222,7e-04,-0.0126
"819.25",819.25,0.000675,-0.01215
"819.2778",819.2778,0.000625,-0.01125
"819.3056",819.3056,6e-04,-0.0108
"819.3333",819.3333,0.000575,-0.01035
